Date,Price,Open,High,Low,Vol.,Change %
Apr 18 2018,938.00,945.25,948.20,935.05,3.37,-0.01
Apr 17 2018,944.25,940.00,947.20,936.00,4.39,0.01
Apr 16 2018,937.05,934.45,940.00,928.50,4.08,0.00
Apr 13 2018,938.85,932.70,941.70,928.70,5.77,0.01
Apr 12 2018,928.70,929.85,936.65,924.20,4.95,0.00
Apr 11 2018,930.85,921.80,932.75,916.05,6.01,0.02
Apr 10 2018,917.05,918.40,923.90,914.15,3.87,0.00
Apr 09 2018,916.00,912.55,919.00,912.55,3.57,0.01
Apr 06 2018,911.00,908.00,918.50,905.00,4.42,0.00
Apr 05 2018,908.20,905.10,910.00,903.50,3.90,0.01
Apr 04 2018,894.90,904.70,911.80,892.05,6.50,-0.01
Apr 03 2018,899.55,891.00,901.70,885.25,6.36,0.01
Apr 02 2018,892.95,893.00,900.95,886.50,5.71,0.01
ar 28 2018,882.70,895.80,895.85,880.00,8.76,-0.02
ar 27 2018,899.80,907.20,910.75,897.00,6.94,0.00
ar 26 2018,901.10,893.95,904.30,892.50,6.05,0.01
ar 23 2018,893.90,890.60,900.00,889.10,10.73,-0.02
ar 22 2018,908.15,896.00,911.95,895.75,10.12,0.01
ar 21 2018,896.90,894.85,902.35,893.30,6.73,0.01
ar 20 2018,889.80,893.30,904.00,887.05,6.95,-0.01
ar 19 2018,895.50,901.00,906.90,892.00,5.77,-0.01
ar 16 2018,900.05,909.00,909.70,886.05,14.09,-0.01
ar 15 2018,911.80,925.00,929.45,910.00,5.81,-0.02
ar 14 2018,929.05,928.80,932.05,919.20,6.73,0.00
ar 13 2018,931.85,931.90,936.00,921.35,5.10,0.00
ar 12 2018,930.30,920.00,933.10,917.55,3.80,0.02
ar 09 2018,913.10,914.90,919.35,911.05,4.86,0.00
ar 08 2018,911.45,897.65,914.50,893.30,6.07,0.02
ar 07 2018,889.75,909.25,909.25,888.05,7.25,-0.02
ar 06 2018,910.85,929.00,936.20,905.10,7.32,-0.01
ar 05 2018,924.10,943.00,950.15,921.60,5.63,-0.03
ar 01 2018,948.40,949.75,959.90,945.95,4.09,-0.01
Feb 28 2018,954.55,945.95,957.10,943.20,25.90,0.00
Feb 27 2018,950.50,939.00,955.80,938.35,6.41,0.01
Feb 26 2018,938.70,939.00,944.90,936.60,3.86,0.00
Feb 23 2018,934.25,925.40,938.00,922.75,4.85,0.01
Feb 22 2018,924.35,922.00,931.00,920.00,5.12,-0.01
Feb 21 2018,929.35,930.00,932.50,922.15,5.45,0.01
Feb 20 2018,921.10,929.00,929.55,918.80,3.87,-0.01
Feb 19 2018,927.00,921.00,932.00,913.55,4.09,0.01
Feb 16 2018,921.30,939.60,942.60,918.10,4.40,-0.02
Feb 15 2018,935.65,937.65,945.75,928.15,6.11,0.00
Feb 14 2018,933.65,923.00,942.50,921.00,10.17,0.02
Feb 12 2018,915.50,903.00,918.20,902.05,5.43,0.02
Feb 09 2018,897.85,889.00,902.00,886.00,5.29,-0.01
Feb 08 2018,904.55,897.90,910.65,892.35,6.32,0.01
Feb 07 2018,894.40,902.55,905.40,890.00,7.10,0.00
Feb 06 2018,892.10,877.00,898.00,871.00,11.00,-0.01
Feb 05 2018,902.15,894.00,912.50,881.80,8.77,0.00
Feb 02 2018,904.35,935.00,943.95,901.00,13.24,-0.04
Feb 01 2018,943.85,963.25,972.60,936.60,7.55,-0.02
Jan 31 2018,961.30,950.00,964.50,941.55,5.74,0.01
Jan 30 2018,950.40,965.80,965.80,949.00,4.20,-0.01
Jan 29 2018,964.50,966.20,977.30,959.30,4.52,0.00
Jan 25 2018,965.90,967.90,972.00,956.15,6.25,0.00
Jan 24 2018,966.35,981.75,981.75,962.65,6.53,-0.02
Jan 23 2018,983.25,975.00,990.95,975.00,10.30,0.01
